,S_euc,D_euc,S/D_euc,S_cos,D_cos,S/D_cos,,,,,,,,,,S/D_euc
70,3489.0503,2060.781293,1.693071609,3445.079452,2016.109885,1.708775636,,,,,,,,,70,1.693071609
71,3432.158148,2203.481157,1.557607215,3525.225932,2180.698567,1.6165581,,,,,,,,,71,1.557607215
72,3701.084225,2336.44065,1.584069437,3644.452708,2253.281217,1.617398077,,,,,,,,,72,1.584069437
73,3644.687549,2381.736298,1.530264938,3752.91835,2445.617683,1.534548256,,,,,,,,,73,1.530264938
74,3796.94961,2222.74269,1.70822724,3737.21721,2319.522708,1.611200958,,,,,,,,,74,1.70822724
75,4061.058188,2528.956918,1.605823396,3926.96221,2462.054267,1.594994174,,,,,,,,,75,1.605823396
76,4049.493396,2779.249317,1.457045747,4107.037888,2573.024044,1.596191025,,,,,,,,,76,1.457045747
77,4006.802486,2759.615628,1.451942236,4130.600979,2547.96919,1.621134587,,,,,,,,,77,1.451942236
78,4112.499356,2885.850158,1.425056441,4074.810572,2702.246126,1.507934652,,,,,,,,,78,1.425056441
79,4267.65133,2913.773051,1.464647814,4389.346017,2880.937744,1.523582391,,,,,,,,,79,1.464647814
80,4430.010878,2825.446954,1.567897381,4592.12414,3115.67893,1.473875917,,,,,,,,,80,1.567897381
81,4527.749604,3104.06665,1.458650897,4575.069144,2950.114521,1.550810693,,,,,,,,,81,1.458650897
82,4690.998302,3198.995968,1.466397066,4479.605846,2973.976976,1.50626783,,,,,,,,,82,1.466397066
83,4854.475525,3055.491274,1.588770868,4777.204331,3142.464742,1.520209365,,,,,,,,,83,1.588770868
84,4825.170548,2817.795002,1.712392329,4709.541505,3119.614577,1.509654923,,,,,,,,,84,1.712392329
85,5125.549869,3204.064348,1.599702538,4866.406467,2968.729921,1.639221686,,,,,,,,,85,1.599702538
86,5066.816348,3312.843841,1.529446177,4942.854324,3247.888274,1.521867105,,,,,,,,,86,1.529446177
87,5099.272802,3423.733205,1.489389651,5009.098075,3225.507577,1.552964287,,,,,,,,,87,1.489389651
88,5298.301426,3185.096635,1.66346646,5255.648513,3417.706224,1.537770706,,,,,,,,,88,1.66346646
89,5511.080852,3655.726368,1.507520065,5384.126411,3536.133063,1.522602887,,,,,,,,,89,1.507520065
90,5517.030648,3591.573756,1.536103954,5603.977435,3569.024298,1.570170715,,,,,,,,,90,1.536103954
91,5673.837332,3578.983325,1.585320974,5726.085019,3669.171649,1.560593389,,,,,,,,,91,1.585320974
92,5724.650198,3860.635834,1.482825743,5760.092427,3612.97403,1.594280053,,,,,,,,,92,1.482825743
93,5903.229082,4154.171831,1.421036327,5823.028193,4160.403555,1.399630617,,,,,,,,,93,1.421036327
94,6079.534616,3857.79825,1.575907868,5983.942719,3862.341011,1.549304606,,,,,,,,,94,1.575907868
95,6202.166634,4068.566845,1.524410651,6205.514835,3914.923425,1.585092264,,,,,,,,,95,1.524410651
96,6299.380789,4335.739133,1.452896633,6314.908414,4209.142484,1.500283832,,,,,,,,,96,1.452896633
97,6283.331536,4137.696389,1.518557899,6423.677289,4295.472322,1.495453074,,,,,,,,,97,1.518557899
98,6498.013644,4167.041564,1.559382968,6675.710072,4435.65772,1.505010191,,,,,,,,,98,1.559382968
99,6628.815638,4359.380399,1.52058665,6532.515384,4382.732637,1.490511953,,,,,,,,,99,1.52058665
100,6685.095975,4406.339259,1.517154169,6843.730071,4543.14076,1.506387416,,,,,,,,,100,1.517154169
